"","X.2","X.1","X","Student","Gender","IPEDS.Ethnicity","Low.Income","First.Generation","Admit.Type","Evaluated.High.School.GPA","Highlander.Scholarship","Chancellor.s.Scholarship","Regents..Scholarship","Previous.School","College","Major","UCR.Entry.Action","Admitted.Honors.Cohort","Permanent.City","Permanent.State","Capstone.Project.Completion","County","Region"
"743",743,743,743,743,"F","ASIAN","Y","Y","Transfer",NA,"N","N","N","Victor Valley College","BU","BSAD","First Time Transfer","Incoming Transfer","Victorville","CA","Yes","San Bernardino","7"
"744",744,744,744,744,"F","HISPANIC OR LATINO","N","N","Freshman",4.25,"N","N","N",NA,NA,"BIOL","First Time Freshman","Second Year","Fontana","CA","N","San Bernardino","7"
"745",745,745,745,745,"F","HISPANIC OR LATINO","N","Y","Freshman",3.43,"N","N","N","University Prep Academy","HS","MCS","First Time Freshman","Second Year","San Jose","CA","Yes","Santa Clara","3"
"746",746,746,746,746,"M","MULTI-RACIAL","N","N","Freshman",3.76,"N","N","N","Arrowhead Christian Academy",NA,"ENTM","First Time Freshman","Third Year","Colton","CA","N","San Bernardino","7"
"747",747,747,747,747,"F","ASIAN","N","N","Freshman",3.86,"Y","N","N","Mountain View High School","HS","PSYC","First Time Freshman","Other","San Jose","CA","Yes","Santa Clara","3"
"748",748,748,748,748,"F","HISPANIC OR LATINO","Y","Y","Freshman",3.66,"N","N","N","San Marcos High School",NA,"NURO","First Time Freshman","Second Year","Escondido","CA","N","San Diego","10"
"749",749,749,749,749,"F","HISPANIC OR LATINO","N","Y","Transfer",NA,"N","N","N",NA,"Other","PBPY","First Time Transfer","Incoming Transfer",NA,"Out-Of-State","N","Other","Other"
"750",750,750,750,750,"F","MULTI-RACIAL","Y","Y","Transfer",NA,"N","N","N",NA,"HS","SCAT","First Time Transfer","Incoming Transfer","Hemet","CA","N","Riverside","7"
"751",751,751,751,751,"F","HISPANIC OR LATINO","Y","Y","Transfer",NA,"N","N","N",NA,"Other","PBPY","First Time Transfer","Incoming Transfer","Hemet","CA","Yes","Riverside","7"
"752",752,752,752,752,"F","HISPANIC OR LATINO","N","Y","Transfer",NA,"N","N","N",NA,"HS","ENGL","First Time Transfer","Incoming Transfer","Lake Elsinore","CA","N","Riverside","7"
"753",753,753,753,753,"F","HISPANIC OR LATINO","Y","Y","Freshman",3.85,"N","N","N",NA,"HS","ANTH","First Time Freshman","Second Year","Tustin","CA","N","Orange","9"
"754",754,754,754,754,"M","WHITE","N","N","Freshman",4.13,"N","N","N","Homestead High School",NA,"CHEM","First Time Freshman","Third Year","Los Altos","CA","Yes","Santa Clara","3"
"755",755,755,755,755,"F","HISPANIC OR LATINO","Y","N","Freshman",3.9,"N","N","N",NA,NA,"BIOL","First Time Freshman","First Year","Rialto","CA","N","San Bernardino","7"
"756",756,756,756,756,"M","HISPANIC OR LATINO","Y","Y","Transfer",NA,"N","N","N",NA,"BU","BSAD","First Time Transfer","Incoming Transfer","Apple Valley","CA","Yes","San Bernardino","7"
"757",757,757,757,757,"M","HISPANIC OR LATINO","N","Y","Freshman",4.19,"N","N","N","Grand Terrace High School","EN","MCEN","First Time Freshman","Second Year","Colton","CA","N","San Bernardino","7"
